Blocks,Total,Func,Module
0,5,"contextMalloc","Enclave/sqlite3.o"
0,1,"continueUnwinding",""
0,1,"continue_execution",""
0,18,"convertCompoundSelectToSubquery","Enclave/sqlite3.o"
0,7,"copy",""
0,7,"copyNodeContent.part.0","Enclave/sqlite3.o"
0,9,"corruptSchema","Enclave/sqlite3.o"
0,8,"countFinalize","Enclave/sqlite3.o"
0,8,"countStep","Enclave/sqlite3.o"
0,11,"createAggContext.isra.0","Enclave/sqlite3.o"
0,12,"createModule","Enclave/sqlite3.o"
0,10,"create_state_record_for",""
0,1,"ctimeFunc","Enclave/sqlite3.o"
0,1,"ctimestampFunc","Enclave/sqlite3.o"
0,1,"data_from_rep",""
0,7,"dateFunc","Enclave/sqlite3.o"
0,5,"datetimeFunc","Enclave/sqlite3.o"
0,11,"dbReallocFinish","Enclave/sqlite3.o"
0,8,"decodeFlags","Enclave/sqlite3.o"
0,26,"decodeIntArray.isra.0","Enclave/sqlite3.o"
0,38,"defragmentPage","Enclave/sqlite3.o"
0,46,"deleteTable","Enclave/sqlite3.o"
0,8,"destroyRootPage","Enclave/sqlite3.o"
0,21,"detachFunc","Enclave/sqlite3.o"
0,14,"disableTerm.isra.0","Enclave/sqlite3.o"
0,175,"dispose_chunk",""
0,3,"dl_iterate_phdr",""
0,7,"dlcalloc",""
0,3,"dlclose","Enclave/ocall_interface.o"
0,3,"dlerror","Enclave/ocall_interface.o"
0,3,"dlopen","Enclave/ocall_interface.o"
0,21,"dlrealloc",""
0,3,"dlsym","Enclave/ocall_interface.o"
0,24,"do_add_thread",""
0,4,"do_atexit_aux",""
0,3,"do_check_mmapped_chunk",""
0,11,"do_del_tcs",""
0,10,"do_dtors_aux",""
0,14,"do_ecall_add_thread",""
0,1,"do_egetkey",""
0,1,"do_ereport",""
0,13,"do_init_enclave",""
0,14,"do_oret",""
0,26,"do_relocs",""
0,20,"do_uninit_enclave",""
0,7,"dorounding",""
0,1,"dotlockCheckReservedLock","Enclave/sqlite3.o"
0,1,"dotlockClose","Enclave/sqlite3.o"
0,1,"dotlockIoFinderImpl","Enclave/sqlite3.o"
0,16,"dotlockLock","Enclave/sqlite3.o"
0,9,"dotlockUnlock","Enclave/sqlite3.o"
0,5,"doubleToInt64","Enclave/sqlite3.o"
0,8,"dropCell.part.0","Enclave/sqlite3.o"
0,8,"dupedExprNodeSize","Enclave/sqlite3.o"
0,7,"dupedExprSize","Enclave/sqlite3.o"
0,15,"dwarf_eh_find_callsite",""
0,40,"dwarf_get",""
0,2,"dwarf_get_uc",""
0,8,"dwarf_put",""
0,33,"dwarf_read_sleb128",""
0,32,"dwarf_read_uleb128",""
0,1,"dwarf_reads16",""
0,2,"dwarf_reads32",""
0,2,"dwarf_reads64",""
0,4,"dwarf_readu16",""
0,4,"dwarf_readu32",""
0,3,"dwarf_readu64",""
0,4,"dwarf_readu8",""
0,12,"dwarf_readw",""
0,9,"dwarf_size_of_fixed_size_field",""
0,1,"ecall_closedb","Enclave/Enclave.o"
0,19,"elf_get_uninit_array",""
0,14,"elf_tls_aligned_virtual_size",""
0,20,"emergency_malloc",""
0,10,"emergency_malloc_free",""
0,4,"empty_rstate_stack",""
0,1,"enclave_entry",""
0,5,"enlargeAndAppend","Enclave/sqlite3.o"
0,1,"errlogFunc","Enclave/sqlite3.o"
0,14,"establish_machine_state",""
0,8,"estimateIndexWidth","Enclave/sqlite3.o"
0,14,"eval_location_expr",""
0,1,"exception",""
0,1,"exceptionFromPointer",""
0,1,"exception_cleanup",""
0,13,"execSql","Enclave/sqlite3.o"
0,8,"execSqlF","Enclave/sqlite3.o"
0,4,"expand",""
0,5,"expand_stack_by_pages",""
0,20,"explainAppendTerm","Enclave/sqlite3.o"
0,4,"explainComposite.part.0","Enclave/sqlite3.o"
0,1,"explainTempTable.part.0","Enclave/sqlite3.o"
0,16,"exponent",""
0,7,"exprAlwaysFalse","Enclave/sqlite3.o"
0,7,"exprAlwaysTrue","Enclave/sqlite3.o"
0,409,"exprAnalyze","Enclave/sqlite3.o"
0,1,"exprAnalyze.cold","Enclave/sqlite3.o"
0,8,"exprCodeBetween.isra.0","Enclave/sqlite3.o"
0,14,"exprCodeVector","Enclave/sqlite3.o"
0,49,"exprDup","Enclave/sqlite3.o"
0,17,"exprINAffinity.isra.0","Enclave/sqlite3.o"
0,10,"exprIdxCover","Enclave/sqlite3.o"
0,5,"exprIsConst","Enclave/sqlite3.o"
0,9,"exprListDeleteNN","Enclave/sqlite3.o"
0,10,"exprMightBeIndexed","Enclave/sqlite3.o"
0,13,"exprMightBeIndexed2","Enclave/sqlite3.o"
0,27,"exprNodeIsConstant","Enclave/sqlite3.o"
0,15,"exprNodeIsConstantOrGroupBy","Enclave/sqlite3.o"
0,1,"exprNot.isra.0.part.0","Enclave/sqlite3.o"
0,15,"exprSelectUsage","Enclave/sqlite3.o"
0,18,"exprSetHeight","Enclave/sqlite3.o"
0,9,"exprSrcCount","Enclave/sqlite3.o"
0,10,"exprTableRegister","Enclave/sqlite3.o"
0,5,"exprVectorRegister","Enclave/sqlite3.o"
0,3,"fchmod","Enclave/ocall_interface.o"
0,3,"fchown","Enclave/ocall_interface.o"
0,5,"fcntl","Enclave/ocall_interface.o"
0,10,"feature_supported",""
0,13,"fetch_proc_info",""
0,11,"finalDbSize","Enclave/sqlite3.o"
0,7,"finalizeAggFunctions.isra.0","Enclave/sqlite3.o"
0,14,"findBtree","Enclave/sqlite3.o"
0,21,"find_reg_state",""
0,57,"fkLookupParent","Enclave/sqlite3.o"
0,21,"fkParentIsModified","Enclave/sqlite3.o"
0,46,"fkScanChildren","Enclave/sqlite3.o"
0,1,"fkScanChildren.cold","Enclave/sqlite3.o"
0,11,"fkTriggerDelete","Enclave/sqlite3.o"
0,10,"freeIndex","Enclave/sqlite3.o"
0,18,"freeP4","Enclave/sqlite3.o"
0,3,"freeP4FuncCtx","Enclave/sqlite3.o"
0,4,"freeP4Mem","Enclave/sqlite3.o"
0,1,"freePage.part.0","Enclave/sqlite3.o"
0,47,"freePage2","Enclave/sqlite3.o"
0,35,"freeSpace","Enclave/sqlite3.o"
0,5,"free_exception",""
0,1,"free_object",""
0,5,"fsync","Enclave/ocall_interface.o"
0,40,"generateColumnNames","Enclave/sqlite3.o"
0,43,"generateOutputSubroutine.isra.0","Enclave/sqlite3.o"
0,20,"getAndInitPage","Enclave/sqlite3.o"
0,3,"getCellInfo","Enclave/sqlite3.o"
0,25,"getDigits","Enclave/sqlite3.o"
